# Dose, resp_before, resp_after, dark_before, dark_after
2.400000e+01,-1.069909e-07,6.078000e-08,1.138531e-05,1.366696e-05
4.800000e+01,1.560909e-08,9.011818e-08,1.228183e-05,1.456769e-05
7.200000e+01,1.985273e-08,5.020000e-08,1.243411e-05,1.450150e-05
9.600000e+01,-5.747273e-09,9.930909e-08,1.239295e-05,1.432767e-05
1.200000e+02,-1.242364e-08,1.088818e-07,1.228034e-05,1.404347e-05
1.440000e+02,1.180000e-08,7.989273e-08,1.217075e-05,1.390769e-05
